# turn             x            px             y            py             z            pz   track state
    58   2.16753E-06  -2.02675E-06   0.00000E+00   0.00000E+00  -7.18480E-05   1.70000E-02            -9
    59   4.28931E-05  -4.28544E-06   0.00000E+00   0.00000E+00  -7.31182E-05   1.70000E-02            -9
    60   4.65000E-05   3.72647E-06   0.00000E+00   0.00000E+00  -7.43481E-05   1.70000E-02            -9
    61   4.34009E-06   2.80792E-06   0.00000E+00   0.00000E+00  -7.56139E-05   1.70000E-02            -9
    62   1.74770E-05  -4.84418E-06   0.00000E+00   0.00000E+00  -7.68995E-05   1.70000E-02            -9
    63   5.44246E-05  -8.82018E-07   0.00000E+00   0.00000E+00  -7.81470E-05   1.70000E-02            -9
    64   2.66037E-05   5.19363E-06   0.00000E+00   0.00000E+00  -7.93856E-05   1.70000E-02            -9
    65   7.16234E-07  -1.18106E-06   0.00000E+00   0.00000E+00  -8.06679E-05   1.70000E-02            -9
    66   3.88103E-05  -4.72335E-06   0.00000E+00   0.00000E+00  -8.19422E-05   1.70000E-02            -9
    67   4.95744E-05   3.05518E-06   0.00000E+00   0.00000E+00  -8.31732E-05   1.70000E-02            -9
    68   7.20007E-06   3.51234E-06   0.00000E+00   0.00000E+00  -8.44341E-05   1.70000E-02            -9
    69   1.32682E-05  -4.45292E-06   0.00000E+00   0.00000E+00  -8.57205E-05   1.70000E-02            -9
    70   5.32350E-05  -1.74130E-06   0.00000E+00   0.00000E+00  -8.69730E-05   1.70000E-02            -9
    71   3.12859E-05   5.14290E-06   0.00000E+00   0.00000E+00  -8.82081E-05   1.70000E-02            -9
    72   4.58666E-08  -3.00730E-07   0.00000E+00   0.00000E+00  -8.94879E-05   1.70000E-02            -9
    73   3.43939E-05  -5.02314E-06   0.00000E+00   0.00000E+00  -9.07656E-05   1.70000E-02            -9
    74   5.20001E-05   2.29463E-06   0.00000E+00   0.00000E+00  -9.19987E-05   1.70000E-02            -9
    75   1.06515E-05   4.11381E-06   0.00000E+00   0.00000E+00  -9.32546E-05   1.70000E-02            -9
    76   9.47335E-06  -3.93120E-06   0.00000E+00   0.00000E+00  -9.45412E-05   1.70000E-02            -9
    77   5.12894E-05  -2.54972E-06   0.00000E+00   0.00000E+00  -9.57988E-05   1.70000E-02            -9
    78   3.58548E-05   4.94168E-06   0.00000E+00   0.00000E+00  -9.70311E-05   1.70000E-02            -9
    79   1.76017E-07   5.88420E-07   0.00000E+00   0.00000E+00  -9.83078E-05   1.70000E-02            -9
    80   2.97734E-05  -5.17600E-06   0.00000E+00   0.00000E+00  -9.95884E-05   1.70000E-02            -9
    81   5.37058E-05   1.46704E-06   0.00000E+00   0.00000E+00  -1.00825E-04   1.70000E-02            -9
    82   1.45934E-05   4.59472E-06   0.00000E+00   0.00000E+00  -1.02075E-04   1.70000E-02            -9
    83   6.20346E-06  -3.29426E-06   0.00000E+00   0.00000E+00  -1.03362E-04   1.70000E-02            -9
    84   4.86446E-05  -3.28365E-06   0.00000E+00   0.00000E+00  -1.04624E-04   1.70000E-02            -9
    85   4.01768E-05   4.59594E-06   0.00000E+00   0.00000E+00  -1.05855E-04   1.70000E-02            -9
    86   1.10288E-06   1.46031E-06   0.00000E+00   0.00000E+00  -1.07128E-04   1.70000E-02            -9
    87   2.50839E-05  -5.17740E-06   0.00000E+00   0.00000E+00  -1.08411E-04   1.70000E-02            -9
    88   5.46416E-05   5.96608E-07   0.00000E+00   0.00000E+00  -1.09651E-04   1.70000E-02            -9
    89   1.89105E-05   4.94103E-06   0.00000E+00   0.00000E+00  -1.10897E-04   1.70000E-02            -9
    90   3.55411E-06  -2.56075E-06   0.00000E+00   0.00000E+00  -1.12182E-04   1.70000E-02            -9
